Name;Ticker;Typ;WKN;ISIN;Stück;Kaufkurs;Kaufdatum;Kaufwert;Spesen EUR;Aktueller Kurs;Kurswährung;Aktueller Wert EUR;Gewinn Verlust EUR;Gewinn Verlust Prozent;Gewichtung Prozent
Lyondellbasell Industries;LYB;Aktie;A1CWRM;NL0009434992;93,0;53,80 EUR;05.03.26;5.003,40 EUR;;53,76;EUR;4.999,68;;;5,21 %
M&G PLC;MNG.L;Aktie;A2PSZW;GB00BKFB1C65;1,4;3,59 EUR;05.03.26;5.026,00 EUR;;4,21;EUR;5.894,00;;;6,14 %
Mercedes-Benz Group (Daimler);MBG.DE;Aktie;710000;DE0007100000;100,0;51,91 EUR;14.11.19;5.191,00 EUR;;44,51;EUR;4.451,00;;;2,63 %
Mowi ASA;MOWI.OL;Aktie;924848;NO0003054108;300,0;22,30 EUR;18.10.19;6.690,00 EUR;;18,23;EUR;5.469,00;;;3,23 %
NEPI ROCKCASTLE EO -,01;NRP.JO;Aktie;A3DNGP;NL0015000RT3;675,0;7,42 EUR;05.03.26;5.008,50 EUR;;7,56;EUR;5.103,00;;;5,32 %
Primary Health Properties;PHP.L;Aktie;A142J2;GB00BYRJ5J14;4,25;1,19 EUR;05.03.26;5.057,50 EUR;;1,13;EUR;4.802,50;;;5,00 %
Rio Tinto;RIO.L;Aktie;852147;GB0007188757;100,0;55,59 EUR;01.07.19;5.559,00 EUR;;80,46;EUR;8.046,00;;;4,75 %
RTL;RRTL.DE;Aktie;861149;LU0061462528;100,0;45,04 EUR;30.06.19;4.504,00 EUR;;32,1;EUR;3.210,00;;;1,89 %
Scor;SCR.PA;Aktie;A0LGQX;FR0010411983;177,0;28,34 EUR;24.06.25;5.016,18 EUR;;33,88;EUR;5.996,76;;;3,54 %
Signify;LIGHT.AS;Aktie;A2AJ7T;NL0011821392;275,0;18,42 EUR;04.03.26;5.065,50 EUR;;14,69;EUR;4.039,75;;;2,38 %
Sixt Vz;SIX3.DE;Aktie;723133;DE0007231334;93,0;53,90 EUR;23.01.26;5.012,70 EUR;;59,2;EUR;5.505,60;;;3,25 %
Standard Life;SDLF.L;Aktie;A2N805;GB00BGXQNP29;601,0;8,33 EUR;03.03.26;5.003,33 EUR;;10,74;EUR;6.454,74;;;3,81 %
Supermarket Income REIT;SUPR.L;Aktie;A2DVHX;GB00BF345X11;5,25;0,96 EUR;05.03.26;5.040,00 EUR;;0,99;EUR;5.197,50;;;5,42 %
TAG Immobilien;TEG.DE;Aktie;830350;DE0008303504;371,0;13,50 EUR;17.03.26;5.008,50 EUR;;13,09;EUR;4.856,39;;;5,06 %
Tanger Factory Outlet;SKT;Aktie;886676;US8754651060;400,0;14,18 USD;03.01.20;5.093,39 EUR;;41,65;USD;14.644,66;;;8,64 %
The Link REIT;0823.HK;Aktie;A0HL3P;HK0823032773;1,21;4,14 EUR;05.03.26;5.009,40 EUR;;4,38;EUR;5.299,80;;;5,52 %
TUI;TUI1.DE;Aktie;TUAG50;DE000TUAG505;600,0;8,64 EUR;01.07.19;5.182,80 EUR;;6,87;EUR;4.123,20;;;2,43 %
VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF EUR Dis.;TDIV.AS;ETF;A2JAHJ;NL0011683594;97,0;51,89 EUR;05.03.26;5.033,33 EUR;;54,53;EUR;5.289,41;;;5,51 %
Wereldhave;WHA.AS;Aktie;853289;NL0000289213;265,0;18,92 EUR;02.10.25;5.013,80 EUR;;18,8;EUR;4.982,00;;;2,94 %
