Yahoo_Sektor,Yahoo_Sektor_Key,Yahoo_Branche,Yahoo_Branche_Key
Industrials,industrials,Marine Shipping,marine-shipping
Industrials,industrials,Pollution & Treatment Controls,pollution-treatment-controls
Industrials,industrials,Staffing & Employment Services,staffing-employment-services
Industrials,industrials,Airports & Air Services,airports-air-services
Industrials,industrials,Business Equipment & Supplies,business-equipment-supplies
Industrials,industrials,Infrastructure Operations,infrastructure-operations
Healthcare,healthcare,Drug Manufacturers - General,drug-manufacturers-general
Healthcare,healthcare,Biotechnology,biotechnology
Healthcare,healthcare,Diagnostics & Research,diagnostics-research
Healthcare,healthcare,Medical Devices,medical-devices
Healthcare,healthcare,Healthcare Plans,healthcare-plans
Healthcare,healthcare,Medical Instruments & Supplies,medical-instruments-supplies
Healthcare,healthcare,Medical Distribution,medical-distribution
Healthcare,healthcare,Medical Care Facilities,medical-care-facilities
Healthcare,healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic
Healthcare,healthcare,Health Information Services,health-information-services
Healthcare,healthcare,Pharmaceutical Retailers,pharmaceutical-retailers
Consumer Cyclical,consumer-cyclical,Internet Retail,internet-retail
Consumer Cyclical,consumer-cyclical,Auto Manufacturers,auto-manufacturers
Consumer Cyclical,consumer-cyclical,Restaurants,restaurants
Consumer Cyclical,consumer-cyclical,Travel Services,travel-services
Consumer Cyclical,consumer-cyclical,Home Improvement Retail,home-improvement-retail
Consumer Cyclical,consumer-cyclical,Apparel Retail,apparel-retail
Consumer Cyclical,consumer-cyclical,Auto Parts,auto-parts
Consumer Cyclical,consumer-cyclical,Lodging,lodging
Consumer Cyclical,consumer-cyclical,Auto & Truck Dealerships,auto-truck-dealerships
Consumer Cyclical,consumer-cyclical,Specialty Retail,specialty-retail
Consumer Cyclical,consumer-cyclical,Packaging & Containers,packaging-containers
Consumer Cyclical,consumer-cyclical,Residential Construction,residential-construction
Consumer Cyclical,consumer-cyclical,Footwear & Accessories,footwear-accessories
Consumer Cyclical,consumer-cyclical,Resorts & Casinos,resorts-casinos
Consumer Cyclical,consumer-cyclical,Leisure,leisure
Consumer Cyclical,consumer-cyclical,"Furnishings, Fixtures & Appliances",furnishings-fixtures-appliances
Consumer Cyclical,consumer-cyclical,Apparel Manufacturing,apparel-manufacturing
Consumer Cyclical,consumer-cyclical,Gambling,gambling
Consumer Cyclical,consumer-cyclical,Personal Services,personal-services
Consumer Cyclical,consumer-cyclical,Luxury Goods,luxury-goods
Consumer Cyclical,consumer-cyclical,Recreational Vehicles,recreational-vehicles
Consumer Cyclical,consumer-cyclical,Department Stores,department-stores
Consumer Cyclical,consumer-cyclical,Textile Manufacturing,textile-manufacturing
Consumer Defensive,consumer-defensive,Discount Stores,discount-stores
Consumer Defensive,consumer-defensive,Beverages - Non-Alcoholic,beverages-non-alcoholic
Consumer Defensive,consumer-defensive,Household & Personal Products,household-personal-products
Consumer Defensive,consumer-defensive,Tobacco,tobacco
Consumer Defensive,consumer-defensive,Packaged Foods,packaged-foods
Consumer Defensive,consumer-defensive,Confectioners,confectioners
Consumer Defensive,consumer-defensive,Farm Products,farm-products
Consumer Defensive,consumer-defensive,Food Distribution,food-distribution
Consumer Defensive,consumer-defensive,Grocery Stores,grocery-stores
Consumer Defensive,consumer-defensive,Education & Training Services,education-training-services
Consumer Defensive,consumer-defensive,Beverages - Brewers,beverages-brewers
Consumer Defensive,consumer-defensive,Beverages - Wineries & Distilleries,beverages-wineries-distilleries
Communication Services,communication-services,Internet Content & Information,internet-content-information
Communication Services,communication-services,Telecom Services,telecom-services
Communication Services,communication-services,Entertainment,entertainment
Communication Services,communication-services,Advertising Agencies,advertising-agencies
Communication Services,communication-services,Electronic Gaming & Multimedia,electronic-gaming-multimedia
Communication Services,communication-services,Publishing,publishing
Communication Services,communication-services,Broadcasting,broadcasting
Basic Materials,basic-materials,Gold,gold
Basic Materials,basic-materials,Specialty Chemicals,specialty-chemicals
Basic Materials,basic-materials,Copper,copper
Basic Materials,basic-materials,Building Materials,building-materials
Basic Materials,basic-materials,Steel,steel
Basic Materials,basic-materials,Agricultural Inputs,agricultural-inputs
Basic Materials,basic-materials,Other Industrial Metals & Mining,other-industrial-metals-mining
Basic Materials,basic-materials,Chemicals,chemicals
Basic Materials,basic-materials,Other Precious Metals & Mining,other-precious-metals-mining
Basic Materials,basic-materials,Silver,silver
Basic Materials,basic-materials,Aluminum,aluminum
Basic Materials,basic-materials,Lumber & Wood Production,lumber-wood-production
Basic Materials,basic-materials,Coking Coal,coking-coal
Basic Materials,basic-materials,Paper & Paper Products,paper-paper-products
Energy,energy,Oil & Gas Integrated,oil-gas-integrated
Energy,energy,Oil & Gas Midstream,oil-gas-midstream
Energy,energy,Oil & Gas E&P,oil-gas-e-p
Energy,energy,Oil & Gas Refining & Marketing,oil-gas-refining-marketing
Energy,energy,Oil & Gas Equipment & Services,oil-gas-equipment-services
Energy,energy,Uranium,uranium
Energy,energy,Oil & Gas Drilling,oil-gas-drilling
Energy,energy,Thermal Coal,thermal-coal
